ID,Nombre_Tarea,Categoria_Principal,Subcategoria,Indoor_Outdoor,Temp_Min,Temp_Max,Tiempo_Estimado_Minutos,Requiere_Ubicacion,API_Categoria,Descripcion
47,Tour guiado por centro cultural,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Tour guiado por centro cultural dentro de la categoría de Cultura
48,Mini torneo de fútbol,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Mini torneo de fútbol dentro de la categoría de Deporte
49,Partido de bádminton en playa,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Partido de bádminton en playa dentro de la categoría de Deporte
50,Teatro experimental fusión,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Teatro experimental fusión dentro de la categoría de Cultura
51,Entrenamiento funcional novato,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Entrenamiento funcional novato dentro de la categoría de Deporte
52,TRX experto,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante TRX experto dentro de la categoría de Deporte
53,Curso de cocina minimalista,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Curso de cocina minimalista dentro de la categoría de Gastronomía
54,Partido de ping-pong en cancha municipal,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Partido de ping-pong en cancha municipal dentro de la categoría de Deporte
55,TRX intermedio,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante TRX intermedio dentro de la categoría de Deporte
56,Recorrido temático por museo interactivo,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Recorrido temático por museo interactivo dentro de la categoría de Cultura
57,Entrenamiento funcional intermedio,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Entrenamiento funcional intermedio dentro de la categoría de Deporte
58,Taller interactivo en museo interactivo,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Taller interactivo en museo interactivo dentro de la categoría de Cultura
59,Masterclass de pasta,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Masterclass de pasta dentro de la categoría de Gastronomía
60,Entrenamiento de bádminton para maestro,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento de bádminton para maestro dentro de la categoría de Deporte
61,Tour guiado por museo interactivo,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Tour guiado por museo interactivo dentro de la categoría de Cultura
62,Exhibición especial de ingeniería,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Exhibición especial de ingeniería dentro de la categoría de Cultura
63,Monólogo de política,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Monólogo de política dentro de la categoría de Cultura
64,Entrenamiento con kettlebells,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento con kettlebells dentro de la categoría de Deporte
65,Clase de iniciación a voleibol,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Clase de iniciación a voleibol dentro de la categoría de Deporte
66,Teatro infantil arte moderno,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Teatro infantil arte moderno dentro de la categoría de Cultura
67,Exposición de artista conceptual,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Exposición de artista conceptual dentro de la categoría de Cultura
68,Partido de balonmano en centro deportivo,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Partido de balonmano en centro deportivo dentro de la categoría de Deporte
69,Teatro infantil ciencias naturales,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Teatro infantil ciencias naturales dentro de la categoría de Cultura
70,Práctica de fútbol recreativo,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de fútbol recreativo dentro de la categoría de Deporte
71,Práctica de técnicas de fútbol,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Práctica de técnicas de fútbol dentro de la categoría de Deporte
72,Workshop de innovadora culinaria,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Workshop de innovadora culinaria dentro de la categoría de Gastronomía
73,Recorrido temático por museo del cine,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Recorrido temático por museo del cine dentro de la categoría de Cultura
74,Curso de cocina experimental,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Curso de cocina experimental dentro de la categoría de Gastronomía
75,Tour privado por centro cultural,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Tour privado por centro cultural dentro de la categoría de Cultura
76,Práctica de técnicas de pádel,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de técnicas de pádel dentro de la categoría de Deporte
77,Preparación de empanadas típico,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Preparación de empanadas típico dentro de la categoría de Gastronomía
78,Entrenamiento funcional principiante,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Entrenamiento funcional principiante dentro de la categoría de Deporte
79,Tour privado por museo nacional,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Tour privado por museo nacional dentro de la categoría de Cultura
80,Juego en equipo de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Juego en equipo de balonmano dentro de la categoría de Deporte
81,Práctica de tenis recreativo,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Práctica de tenis recreativo dentro de la categoría de Deporte
82,Clase de iniciación a pádel,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Clase de iniciación a pádel dentro de la categoría de Deporte
83,Microteatro histórica,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Microteatro histórica dentro de la categoría de Cultura
84,Degustación de nórdica,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Degustación de nórdica dentro de la categoría de Gastronomía
85,Práctica de rugby recreativo,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Práctica de rugby recreativo dentro de la categoría de Deporte
86,Sesión táctica de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Sesión táctica de bádminton dentro de la categoría de Deporte
87,Sesión de cardio baja,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio baja dentro de la categoría de Deporte
88,Visita virtual al museo Nacional,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Visita virtual al museo Nacional dentro de la categoría de Cultura
89,Rutina de pesas para flexibilidad,Deporte,Fitness,Outdoor,15,30,45,False,,Explora una emocionante Rutina de pesas para flexibilidad dentro de la categoría de Deporte
90,Degustación de asiática,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Degustación de asiática dentro de la categoría de Gastronomía
91,Taller de cocina brasileña,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Taller de cocina brasileña dentro de la categoría de Gastronomía
92,Torneo informal de rugby,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Torneo informal de rugby dentro de la categoría de Deporte
93,Rutina de pesas para principiantes,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Rutina de pesas para principiantes dentro de la categoría de Deporte
94,Microteatro moral,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Microteatro moral dentro de la categoría de Cultura
95,Rutina de pesas para fuerza,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Rutina de pesas para fuerza dentro de la categoría de Deporte
96,Rutina de pesas para resistencia,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Rutina de pesas para resistencia dentro de la categoría de Deporte
97,Entrenamiento funcional medio,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento funcional medio dentro de la categoría de Deporte
98,Obra de teatro musical,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Obra de teatro musical dentro de la categoría de Cultura
99,Microteatro cultural,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Microteatro cultural dentro de la categoría de Cultura
100,Exposición temporal de fotografía antigua,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Exposición temporal de fotografía antigua dentro de la categoría de Cultura
101,Taller de cocina francesa,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Taller de cocina francesa dentro de la categoría de Gastronomía
102,Demostración de cocina italiana,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Demostración de cocina italiana dentro de la categoría de Gastronomía
103,Sesión táctica de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Sesión táctica de voleibol dentro de la categoría de Deporte
104,Mini torneo de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Mini torneo de balonmano dentro de la categoría de Deporte
105,Degustación de mediterránea,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Degustación de mediterránea dentro de la categoría de Gastronomía
106,Exhibición especial de innovación,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Exhibición especial de innovación dentro de la categoría de Cultura
107,Tour privado por galería de arte,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Tour privado por galería de arte dentro de la categoría de Cultura
108,Musical Chicago,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Musical Chicago dentro de la categoría de Cultura
109,Monólogo de cultural,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Monólogo de cultural dentro de la categoría de Cultura
110,Juego en equipo de tenis,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Juego en equipo de tenis dentro de la categoría de Deporte
111,Monólogo de contemporánea,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Monólogo de contemporánea dentro de la categoría de Cultura
112,Taller interactivo en galería de arte,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Taller interactivo en galería de arte dentro de la categoría de Cultura
113,Clase de aeróbics fusión,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Clase de aeróbics fusión dentro de la categoría de Deporte
114,Clase de iniciación a hockey,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Clase de iniciación a hockey dentro de la categoría de Deporte
115,Boot camp variada,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Boot camp variada dentro de la categoría de Deporte
116,TRX medio,Deporte,Fitness,Outdoor,15,30,45,False,,Explora una emocionante TRX medio dentro de la categoría de Deporte
117,Boot camp extrema,Deporte,Fitness,Outdoor,15,30,45,False,,Explora una emocionante Boot camp extrema dentro de la categoría de Deporte
118,Experiencia gastronómica india,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Experiencia gastronómica india dentro de la categoría de Gastronomía
119,Práctica de voleibol recreativo,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de voleibol recreativo dentro de la categoría de Deporte
120,Taller de cocina mexicana,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Taller de cocina mexicana dentro de la categoría de Gastronomía
121,Microteatro política,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Microteatro política dentro de la categoría de Cultura
122,CrossFit WOD del día,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante CrossFit WOD del día dentro de la categoría de Deporte
123,Práctica de técnicas de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Práctica de técnicas de bádminton dentro de la categoría de Deporte
124,Curso de cocina vintage,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Curso de cocina vintage dentro de la categoría de Gastronomía
125,Masterclass de tapas,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Masterclass de tapas dentro de la categoría de Gastronomía
126,Clase de aeróbics contemporáneo,Deporte,Fitness,Outdoor,15,30,180,False,,Explora una emocionante Clase de aeróbics contemporáneo dentro de la categoría de Deporte
127,Obra de teatro histórico,Cultura,Teatro,Indoor,18,28,30,True,place_category,Explora una emocionante Obra de teatro histórico dentro de la categoría de Cultura
128,Clase de aeróbics moderno,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Clase de aeróbics moderno dentro de la categoría de Deporte
129,Teatro infantil historia local,Cultura,Teatro,Indoor,18,28,30,True,place_category,Explora una emocionante Teatro infantil historia local dentro de la categoría de Cultura
130,Visita nocturna a centro cultural,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Visita nocturna a centro cultural dentro de la categoría de Cultura
131,Entrenamiento de voleibol para principiante,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento de voleibol para principiante dentro de la categoría de Deporte
132,Torneo informal de fútbol,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Torneo informal de fútbol dentro de la categoría de Deporte
133,Recorrido temático por centro cultural,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Recorrido temático por centro cultural dentro de la categoría de Cultura
134,Exposición de artista internacional,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Exposición de artista internacional dentro de la categoría de Cultura
135,Cena temática mexicana,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Cena temática mexicana dentro de la categoría de Gastronomía
136,Visita virtual al museo Moderno,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita virtual al museo Moderno dentro de la categoría de Cultura
137,Sesión de cardio suave,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio suave dentro de la categoría de Deporte
138,Clase de iniciación a bádminton,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Clase de iniciación a bádminton dentro de la categoría de Deporte
139,Cena temática italiana,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Cena temática italiana dentro de la categoría de Gastronomía
140,Visita virtual al museo Principal,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Visita virtual al museo Principal dentro de la categoría de Cultura
141,Obra de teatro documental,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Obra de teatro documental dentro de la categoría de Cultura
142,Curso de cocina clásico,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Curso de cocina clásico dentro de la categoría de Gastronomía
143,Visita virtual al museo Tecnológico,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Visita virtual al museo Tecnológico dentro de la categoría de Cultura
144,Clase de tacos tradicional,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Clase de tacos tradicional dentro de la categoría de Gastronomía
145,Práctica de ping-pong recreativo,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Práctica de ping-pong recreativo dentro de la categoría de Deporte
146,Visita nocturna a museo local,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Visita nocturna a museo local dentro de la categoría de Cultura
147,Mini torneo de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Mini torneo de bádminton dentro de la categoría de Deporte
148,Torneo informal de baloncesto,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Torneo informal de baloncesto dentro de la categoría de Deporte
149,Curso de cocina futurista,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Curso de cocina futurista dentro de la categoría de Gastronomía
150,Musical El Lago de los Cisnes,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Musical El Lago de los Cisnes dentro de la categoría de Cultura
151,Entrenamiento de tenis para principiante,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Entrenamiento de tenis para principiante dentro de la categoría de Deporte
152,Rutina de pesas para movilidad,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Rutina de pesas para movilidad dentro de la categoría de Deporte
153,Sesión táctica de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Sesión táctica de balonmano dentro de la categoría de Deporte
154,Experiencia gastronómica peruana,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Experiencia gastronómica peruana dentro de la categoría de Gastronomía
155,Práctica de técnicas de ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Práctica de técnicas de ping-pong dentro de la categoría de Deporte
156,Teatro experimental minimalista,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Teatro experimental minimalista dentro de la categoría de Cultura
157,Exposición de artista moderno,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Exposición de artista moderno dentro de la categoría de Cultura
158,Clase de aeróbics clásico,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Clase de aeróbics clásico dentro de la categoría de Deporte
159,Masterclass de tacos,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Masterclass de tacos dentro de la categoría de Gastronomía
160,Exhibición especial de historia local,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Exhibición especial de historia local dentro de la categoría de Cultura
161,Degustación de fusión,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Degustación de fusión dentro de la categoría de Gastronomía
162,Recorrido temático por museo histórico,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Recorrido temático por museo histórico dentro de la categoría de Cultura
163,Entrenamiento funcional avanzado,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Entrenamiento funcional avanzado dentro de la categoría de Deporte
164,Partido amistoso de ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Partido amistoso de ping-pong dentro de la categoría de Deporte
165,Entrenamiento HIIT de 45 minutos,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento HIIT de 45 minutos dentro de la categoría de Deporte
166,Degustación de latinoamericana,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Degustación de latinoamericana dentro de la categoría de Gastronomía
167,Clase de aeróbics urbano,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Clase de aeróbics urbano dentro de la categoría de Deporte
168,Tour privado por museo local,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Tour privado por museo local dentro de la categoría de Cultura
169,Juego en equipo de fútbol,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Juego en equipo de fútbol dentro de la categoría de Deporte
170,Sesión táctica de baloncesto,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Sesión táctica de baloncesto dentro de la categoría de Deporte
171,Tour privado por museo del cine,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Tour privado por museo del cine dentro de la categoría de Cultura
172,Partido amistoso de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Partido amistoso de balonmano dentro de la categoría de Deporte
173,Musical Cenicienta,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Musical Cenicienta dentro de la categoría de Cultura
174,Exposición temporal de mitología,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Exposición temporal de mitología dentro de la categoría de Cultura
175,Microteatro futurista,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Microteatro futurista dentro de la categoría de Cultura
176,Demostración de cocina tailandesa,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Demostración de cocina tailandesa dentro de la categoría de Gastronomía
177,Boot camp moderada,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Boot camp moderada dentro de la categoría de Deporte
178,Exposición temporal de ciencias naturales,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Exposición temporal de ciencias naturales dentro de la categoría de Cultura
179,Juego en equipo de pádel,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Juego en equipo de pádel dentro de la categoría de Deporte
180,Circuito de ejercicios naturaleza,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Circuito de ejercicios naturaleza dentro de la categoría de Deporte
181,Rutina de pesas para cardio,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Rutina de pesas para cardio dentro de la categoría de Deporte
182,Clase de aeróbics vintage,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Clase de aeróbics vintage dentro de la categoría de Deporte
