ID,Nombre_Tarea,Categoria_Principal,Subcategoria,Indoor_Outdoor,Tiempo_Estimado_Minutos,Requiere_Ubicacion,API_Categoria,Descripcion
52,Hacer una caminata nocturna con luna llena,Deportes al Aire Libre,Senderismo,Outdoor,120,True,,Disfruta de Hacer una caminata nocturna con luna llena al aire libre dentro de la categoría de Deportes al Aire Libre
53,Organizar una exposición al aire libre,Arte al Aire Libre,Pintura,Outdoor,240,True,,Disfruta de Organizar una exposición al aire libre al aire libre dentro de la categoría de Arte al Aire Libre
54,Participar en entrenamientos grupales,Deportes de Equipo,Baloncesto,Outdoor,60,True,,Disfruta de Participar en entrenamientos grupales al aire libre dentro de la categoría de Deportes de Equipo
55,Pintar junto al el parque local,Arte al Aire Libre,Pintura,Outdoor,30,True,,Disfruta de Pintar junto al el parque local al aire libre dentro de la categoría de Arte al Aire Libre
56,Hacer ejercicios de natación en la sierra,Actividades Acuáticas,Natación,Outdoor,90,True,,Disfruta de Hacer ejercicios de natación en la sierra al aire libre dentro de la categoría de Actividades Acuáticas
57,Hacer escalada en roca natural en el valle,Deportes al Aire Libre,Escalada,Outdoor,60,True,,Disfruta de Hacer escalada en roca natural en el valle al aire libre dentro de la categoría de Deportes al Aire Libre
58,Practicar técnicas de surf en la playa sur,Actividades Acuáticas,Surf,Outdoor,60,True,,Disfruta de Practicar técnicas de surf en la playa sur al aire libre dentro de la categoría de Actividades Acuáticas
59,Hacer una ruta panorámica en bicicleta por el jardín botánico,Deportes al Aire Libre,Ciclismo,Outdoor,60,True,,Disfruta de Hacer una ruta panorámica en bicicleta por el jardín botánico al aire libre dentro de la categoría de Deportes al Aire Libre
60,Cultivar plantas aromáticas en la montaña,Jardinería y Agricultura,Huerto Urbano,Outdoor,120,True,,Disfruta de Cultivar plantas aromáticas en la montaña al aire libre dentro de la categoría de Jardinería y Agricultura
61,Jugar voleibol playa en el parque local,Deportes de Equipo,Voleibol,Outdoor,60,True,,Disfruta de Jugar voleibol playa en el parque local al aire libre dentro de la categoría de Deportes de Equipo
62,Plantar árboles en el parque local,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,60,True,,Disfruta de Plantar árboles en el parque local al aire libre dentro de la categoría de Jardinería y Agricultura
63,Hacer una sesión de natación recreativa,Actividades Acuáticas,Natación,Outdoor,120,True,,Disfruta de Hacer una sesión de natación recreativa al aire libre dentro de la categoría de Actividades Acuáticas
64,Explorar senderos históricos en el centro histórico,Deportes al Aire Libre,Senderismo,Outdoor,240,True,,Disfruta de Explorar senderos históricos en el centro histórico al aire libre dentro de la categoría de Deportes al Aire Libre
65,Explorar la costa en kayak,Actividades Acuáticas,Kayak,Outdoor,180,True,,Disfruta de Explorar la costa en kayak al aire libre dentro de la categoría de Actividades Acuáticas
66,Fotografiar el amanecer en el centro histórico,Arte al Aire Libre,Fotografía,Outdoor,30,True,,Disfruta de Fotografiar el amanecer en el centro histórico al aire libre dentro de la categoría de Arte al Aire Libre
67,Hacer kayak en la montaña,Actividades Acuáticas,Kayak,Outdoor,90,True,,Disfruta de Hacer kayak en la montaña al aire libre dentro de la categoría de Actividades Acuáticas
68,Hacer una acampada familiar en el centro histórico,Aventura y Exploración,Campamento,Outdoor,30,True,,Disfruta de Hacer una acampada familiar en el centro histórico al aire libre dentro de la categoría de Aventura y Exploración
69,Organizar una acampada con amigos,Aventura y Exploración,Campamento,Outdoor,240,True,,Disfruta de Organizar una acampada con amigos al aire libre dentro de la categoría de Aventura y Exploración
70,Hacer sprints en el centro histórico,Deportes al Aire Libre,Running,Outdoor,240,True,,Disfruta de Hacer sprints en el centro histórico al aire libre dentro de la categoría de Deportes al Aire Libre
71,Hacer una acampada familiar en la reserva natural,Aventura y Exploración,Campamento,Outdoor,90,True,,Disfruta de Hacer una acampada familiar en la reserva natural al aire libre dentro de la categoría de Aventura y Exploración
72,Hacer camping salvaje en el bosque,Aventura y Exploración,Campamento,Outdoor,30,True,,Disfruta de Hacer camping salvaje en el bosque al aire libre dentro de la categoría de Aventura y Exploración
73,Practicar técnicas de kayak en la montaña,Actividades Acuáticas,Kayak,Outdoor,120,True,,Disfruta de Practicar técnicas de kayak en la montaña al aire libre dentro de la categoría de Actividades Acuáticas
74,Participar en una competición de aguas abiertas,Actividades Acuáticas,Natación,Outdoor,240,True,,Disfruta de Participar en una competición de aguas abiertas al aire libre dentro de la categoría de Actividades Acuáticas
75,Hacer una ruta panorámica en bicicleta por el bosque,Deportes al Aire Libre,Ciclismo,Outdoor,30,True,,Disfruta de Hacer una ruta panorámica en bicicleta por el bosque al aire libre dentro de la categoría de Deportes al Aire Libre
76,Participar en el mantenimiento de jardines públicos,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,180,True,,Disfruta de Participar en el mantenimiento de jardines públicos al aire libre dentro de la categoría de Jardinería y Agricultura
77,Hacer ejercicios de natación en el jardín botánico,Actividades Acuáticas,Natación,Outdoor,90,True,,Disfruta de Hacer ejercicios de natación en el jardín botánico al aire libre dentro de la categoría de Actividades Acuáticas
78,Hacer paddle surf en el valle,Actividades Acuáticas,Surf,Outdoor,90,True,,Disfruta de Hacer paddle surf en el valle al aire libre dentro de la categoría de Actividades Acuáticas
79,Participar en una excursión histórica,Aventura y Exploración,Exploración Urbana,Outdoor,30,True,,Disfruta de Participar en una excursión histórica al aire libre dentro de la categoría de Aventura y Exploración
80,Mantener un jardín comunitario en el bosque,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,120,True,,Disfruta de Mantener un jardín comunitario en el bosque al aire libre dentro de la categoría de Jardinería y Agricultura
81,Participar en un maratón urbano,Deportes al Aire Libre,Running,Outdoor,90,True,,Disfruta de Participar en un maratón urbano al aire libre dentro de la categoría de Deportes al Aire Libre
82,Organizar un torneo de fútbol con amigos,Deportes de Equipo,Fútbol,Outdoor,240,True,,Disfruta de Organizar un torneo de fútbol con amigos al aire libre dentro de la categoría de Deportes de Equipo
83,Hacer geocaching urbano,Aventura y Exploración,Geocaching,Outdoor,240,True,,Disfruta de Hacer geocaching urbano al aire libre dentro de la categoría de Aventura y Exploración
84,Hacer paddle surf en el lago,Actividades Acuáticas,Surf,Outdoor,60,True,,Disfruta de Hacer paddle surf en el lago al aire libre dentro de la categoría de Actividades Acuáticas
85,Hacer un entrenamiento de cuestas en el parque local,Deportes al Aire Libre,Running,Outdoor,90,True,,Disfruta de Hacer un entrenamiento de cuestas en el parque local al aire libre dentro de la categoría de Deportes al Aire Libre
86,Participar en una excursión guiada por el lago,Deportes al Aire Libre,Senderismo,Outdoor,30,True,,Disfruta de Participar en una excursión guiada por el lago al aire libre dentro de la categoría de Deportes al Aire Libre
87,Jugar voleibol con amigos al aire libre,Deportes de Equipo,Voleibol,Outdoor,120,True,,Disfruta de Jugar voleibol con amigos al aire libre al aire libre dentro de la categoría de Deportes de Equipo
88,Hacer surf al atardecer en la playa local,Actividades Acuáticas,Surf,Outdoor,180,True,,Disfruta de Hacer surf al atardecer en la playa local al aire libre dentro de la categoría de Actividades Acuáticas
89,Participar en una visita guiada histórica,Aventura y Exploración,Exploración Urbana,Outdoor,90,True,,Disfruta de Participar en una visita guiada histórica al aire libre dentro de la categoría de Aventura y Exploración
90,Cultivar plantas aromáticas en el lago,Jardinería y Agricultura,Huerto Urbano,Outdoor,180,True,,Disfruta de Cultivar plantas aromáticas en el lago al aire libre dentro de la categoría de Jardinería y Agricultura
91,Participar en un intercambio de semillas,Jardinería y Agricultura,Huerto Urbano,Outdoor,240,True,,Disfruta de Participar en un intercambio de semillas al aire libre dentro de la categoría de Jardinería y Agricultura
92,Participar en una sesión de pintura en la sierra,Arte al Aire Libre,Pintura,Outdoor,120,True,,Disfruta de Participar en una sesión de pintura en la sierra al aire libre dentro de la categoría de Arte al Aire Libre
93,Jugar baloncesto con amigos al aire libre,Deportes de Equipo,Baloncesto,Outdoor,180,True,,Disfruta de Jugar baloncesto con amigos al aire libre al aire libre dentro de la categoría de Deportes de Equipo
94,Participar en un concurso de pintura rápida,Arte al Aire Libre,Pintura,Outdoor,90,True,,Disfruta de Participar en un concurso de pintura rápida al aire libre dentro de la categoría de Arte al Aire Libre
95,Organizar un torneo de baloncesto callejero,Deportes de Equipo,Baloncesto,Outdoor,120,True,,Disfruta de Organizar un torneo de baloncesto callejero al aire libre dentro de la categoría de Deportes de Equipo
96,Practicar técnicas de natación en la sierra,Actividades Acuáticas,Natación,Outdoor,180,True,,Disfruta de Practicar técnicas de natación en la sierra al aire libre dentro de la categoría de Actividades Acuáticas
97,Organizar un taller de agricultura ecológica,Jardinería y Agricultura,Huerto Urbano,Outdoor,120,True,,Disfruta de Organizar un taller de agricultura ecológica al aire libre dentro de la categoría de Jardinería y Agricultura
98,Hacer entrenamiento de intervalos en el valle,Deportes al Aire Libre,Running,Outdoor,90,True,,Disfruta de Hacer entrenamiento de intervalos en el valle al aire libre dentro de la categoría de Deportes al Aire Libre
99,Fotografiar el amanecer en el parque local,Arte al Aire Libre,Fotografía,Outdoor,120,True,,Disfruta de Fotografiar el amanecer en el parque local al aire libre dentro de la categoría de Arte al Aire Libre
100,Buscar tesoros de geocaching en el valle,Aventura y Exploración,Geocaching,Outdoor,60,True,,Disfruta de Buscar tesoros de geocaching en el valle al aire libre dentro de la categoría de Aventura y Exploración
101,Hacer surf al atardecer en la costa salvaje,Actividades Acuáticas,Surf,Outdoor,180,True,,Disfruta de Hacer surf al atardecer en la costa salvaje al aire libre dentro de la categoría de Actividades Acuáticas
102,Hacer geocaching nocturno,Aventura y Exploración,Geocaching,Outdoor,30,True,,Disfruta de Hacer geocaching nocturno al aire libre dentro de la categoría de Aventura y Exploración
103,Correr al amanecer por el lago,Deportes al Aire Libre,Running,Outdoor,180,True,,Disfruta de Correr al amanecer por el lago al aire libre dentro de la categoría de Deportes al Aire Libre
104,Hacer paddle surf en el jardín botánico,Actividades Acuáticas,Surf,Outdoor,240,True,,Disfruta de Hacer paddle surf en el jardín botánico al aire libre dentro de la categoría de Actividades Acuáticas
105,Participar en un evento de geocaching,Aventura y Exploración,Geocaching,Outdoor,30,True,,Disfruta de Participar en un evento de geocaching al aire libre dentro de la categoría de Aventura y Exploración
106,Tomar una clase de surf en la playa sur,Actividades Acuáticas,Surf,Outdoor,90,True,,Disfruta de Tomar una clase de surf en la playa sur al aire libre dentro de la categoría de Actividades Acuáticas
107,Participar en una carrera local de 5 km,Deportes al Aire Libre,Running,Outdoor,240,True,,Disfruta de Participar en una carrera local de 5 km al aire libre dentro de la categoría de Deportes al Aire Libre
108,Hacer una ruta fotográfica urbana,Aventura y Exploración,Exploración Urbana,Outdoor,180,True,,Disfruta de Hacer una ruta fotográfica urbana al aire libre dentro de la categoría de Aventura y Exploración
109,Participar en clases de voleibol,Deportes de Equipo,Voleibol,Outdoor,120,True,,Disfruta de Participar en clases de voleibol al aire libre dentro de la categoría de Deportes de Equipo
110,Practicar natación de larga distancia en la montaña,Actividades Acuáticas,Natación,Outdoor,180,True,,Disfruta de Practicar natación de larga distancia en la montaña al aire libre dentro de la categoría de Actividades Acuáticas
111,Crear un jardín de mariposas en el parque local,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,30,True,,Disfruta de Crear un jardín de mariposas en el parque local al aire libre dentro de la categoría de Jardinería y Agricultura
112,Participar en una ruta interpretativa por el centro histórico,Deportes al Aire Libre,Senderismo,Outdoor,120,True,,Disfruta de Participar en una ruta interpretativa por el centro histórico al aire libre dentro de la categoría de Deportes al Aire Libre
113,Correr con un grupo de running en la montaña,Deportes al Aire Libre,Running,Outdoor,180,True,,Disfruta de Correr con un grupo de running en la montaña al aire libre dentro de la categoría de Deportes al Aire Libre
114,Hacer una ruta en kayak por el río tranquilo,Actividades Acuáticas,Kayak,Outdoor,30,True,,Disfruta de Hacer una ruta en kayak por el río tranquilo al aire libre dentro de la categoría de Actividades Acuáticas
115,Organizar un partido de voleibol en la sierra,Deportes de Equipo,Voleibol,Outdoor,180,True,,Disfruta de Organizar un partido de voleibol en la sierra al aire libre dentro de la categoría de Deportes de Equipo
116,Hacer una ruta de geocaching por el centro histórico,Aventura y Exploración,Geocaching,Outdoor,120,True,,Disfruta de Hacer una ruta de geocaching por el centro histórico al aire libre dentro de la categoría de Aventura y Exploración
117,Explorar un parque natural cercano,Deportes al Aire Libre,Senderismo,Outdoor,180,True,,Disfruta de Explorar un parque natural cercano al aire libre dentro de la categoría de Deportes al Aire Libre
118,Hacer entrenamiento de baloncesto en el bosque,Deportes de Equipo,Baloncesto,Outdoor,90,True,,Disfruta de Hacer entrenamiento de baloncesto en el bosque al aire libre dentro de la categoría de Deportes de Equipo
119,Participar en un safari fotográfico,Arte al Aire Libre,Fotografía,Outdoor,60,True,,Disfruta de Participar en un safari fotográfico al aire libre dentro de la categoría de Arte al Aire Libre
120,Hacer ejercicios técnicos de voleibol en el valle,Deportes de Equipo,Voleibol,Outdoor,60,True,,Disfruta de Hacer ejercicios técnicos de voleibol en el valle al aire libre dentro de la categoría de Deportes de Equipo
121,Hacer trekking de baja en el bosque,Deportes al Aire Libre,Senderismo,Outdoor,60,True,,Disfruta de Hacer trekking de baja en el bosque al aire libre dentro de la categoría de Deportes al Aire Libre
122,Organizar un partido amistoso en la sierra,Deportes de Equipo,Fútbol,Outdoor,30,True,,Disfruta de Organizar un partido amistoso en la sierra al aire libre dentro de la categoría de Deportes de Equipo
123,Practicar eskimotaje en kayak,Actividades Acuáticas,Kayak,Outdoor,120,True,,Disfruta de Practicar eskimotaje en kayak al aire libre dentro de la categoría de Actividades Acuáticas
124,Cultivar plantas aromáticas en la sierra,Jardinería y Agricultura,Huerto Urbano,Outdoor,180,True,,Disfruta de Cultivar plantas aromáticas en la sierra al aire libre dentro de la categoría de Jardinería y Agricultura
125,Participar en una sesión de pintura en la reserva natural,Arte al Aire Libre,Pintura,Outdoor,240,True,,Disfruta de Participar en una sesión de pintura en la reserva natural al aire libre dentro de la categoría de Arte al Aire Libre
126,Hacer bodyboard en la costa salvaje,Actividades Acuáticas,Surf,Outdoor,120,True,,Disfruta de Hacer bodyboard en la costa salvaje al aire libre dentro de la categoría de Actividades Acuáticas
127,Hacer sprints en la playa,Deportes al Aire Libre,Running,Outdoor,90,True,,Disfruta de Hacer sprints en la playa al aire libre dentro de la categoría de Deportes al Aire Libre
128,Tomar una clase de surf en la cala escondida,Actividades Acuáticas,Surf,Outdoor,90,True,,Disfruta de Tomar una clase de surf en la cala escondida al aire libre dentro de la categoría de Actividades Acuáticas
129,Buscar tesoros de geocaching en el centro histórico,Aventura y Exploración,Geocaching,Outdoor,240,True,,Disfruta de Buscar tesoros de geocaching en el centro histórico al aire libre dentro de la categoría de Aventura y Exploración
130,Participar en un evento de natación al aire libre,Actividades Acuáticas,Natación,Outdoor,60,True,,Disfruta de Participar en un evento de natación al aire libre al aire libre dentro de la categoría de Actividades Acuáticas
131,Hacer una ruta de geocaching por el bosque,Aventura y Exploración,Geocaching,Outdoor,60,True,,Disfruta de Hacer una ruta de geocaching por el bosque al aire libre dentro de la categoría de Aventura y Exploración
132,Participar en una liga amateur de fútbol,Deportes de Equipo,Fútbol,Outdoor,180,True,,Disfruta de Participar en una liga amateur de fútbol al aire libre dentro de la categoría de Deportes de Equipo
133,Hacer una ruta panorámica en bicicleta por la montaña,Deportes al Aire Libre,Ciclismo,Outdoor,60,True,,Disfruta de Hacer una ruta panorámica en bicicleta por la montaña al aire libre dentro de la categoría de Deportes al Aire Libre
134,Hacer acuarelas en la naturaleza,Arte al Aire Libre,Pintura,Outdoor,30,True,,Disfruta de Hacer acuarelas en la naturaleza al aire libre dentro de la categoría de Arte al Aire Libre
135,Hacer entrenamiento de fútbol en la montaña,Deportes de Equipo,Fútbol,Outdoor,120,True,,Disfruta de Hacer entrenamiento de fútbol en la montaña al aire libre dentro de la categoría de Deportes de Equipo
136,Participar en un campamento de supervivencia,Aventura y Exploración,Campamento,Outdoor,180,True,,Disfruta de Participar en un campamento de supervivencia al aire libre dentro de la categoría de Aventura y Exploración
137,Acampar en el jardín botánico,Aventura y Exploración,Campamento,Outdoor,60,True,,Disfruta de Acampar en el jardín botánico al aire libre dentro de la categoría de Aventura y Exploración
138,Explorar caches misteriosos en el valle,Aventura y Exploración,Geocaching,Outdoor,30,True,,Disfruta de Explorar caches misteriosos en el valle al aire libre dentro de la categoría de Aventura y Exploración
139,Practicar maniobras de surf en la playa sur,Actividades Acuáticas,Surf,Outdoor,180,True,,Disfruta de Practicar maniobras de surf en la playa sur al aire libre dentro de la categoría de Actividades Acuáticas
140,Pintar junto al el jardín botánico,Arte al Aire Libre,Pintura,Outdoor,180,True,,Disfruta de Pintar junto al el jardín botánico al aire libre dentro de la categoría de Arte al Aire Libre
141,Participar en un curso de kayak,Actividades Acuáticas,Kayak,Outdoor,240,True,,Disfruta de Participar en un curso de kayak al aire libre dentro de la categoría de Actividades Acuáticas
142,Hacer entrenamiento de intervalos en la montaña,Deportes al Aire Libre,Running,Outdoor,180,True,,Disfruta de Hacer entrenamiento de intervalos en la montaña al aire libre dentro de la categoría de Deportes al Aire Libre
143,Hacer bocetos de naturaleza en la montaña,Arte al Aire Libre,Pintura,Outdoor,120,True,,Disfruta de Hacer bocetos de naturaleza en la montaña al aire libre dentro de la categoría de Arte al Aire Libre
144,Participar en un multi-cache en la playa,Aventura y Exploración,Geocaching,Outdoor,30,True,,Disfruta de Participar en un multi-cache en la playa al aire libre dentro de la categoría de Aventura y Exploración
145,Hacer una ruta de senderismo con observación de aves,Deportes al Aire Libre,Senderismo,Outdoor,240,True,,Disfruta de Hacer una ruta de senderismo con observación de aves al aire libre dentro de la categoría de Deportes al Aire Libre
146,Participar en una ruta interpretativa por la sierra,Deportes al Aire Libre,Senderismo,Outdoor,90,True,,Disfruta de Participar en una ruta interpretativa por la sierra al aire libre dentro de la categoría de Deportes al Aire Libre
147,Participar en un campamento de aventura,Aventura y Exploración,Campamento,Outdoor,180,True,,Disfruta de Participar en un campamento de aventura al aire libre dentro de la categoría de Aventura y Exploración
